Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,55.0,17.0,28.0,55.00000000000001
2.0,56.0,18.0,26.0,56.00000000000001
3.0,46.0,15.0,39.0,46.0
4.0,60.0,13.0,27.0,60.0
5.0,63.0,22.0,15.0,63.0
6.0,61.0,17.0,22.0,61.0
7.0,62.0,12.0,26.0,62.0
8.0,63.0,8.0,29.0,63.0
9.0,63.0,11.0,26.0,63.0
10.0,57.0,14.0,29.0,56.99999999999999
11.0,59.0,21.0,20.0,59.0
12.0,63.0,14.0,23.0,63.0
13.0,63.0,13.0,24.0,63.0
14.0,59.0,14.0,27.0,59.0
15.0,58.0,16.0,26.0,57.99999999999999
16.0,67.0,11.0,22.0,67.0
17.0,67.0,14.0,19.0,67.0
18.0,70.0,10.0,20.0,70.0
19.0,67.0,12.0,21.0,67.0
20.0,62.0,15.0,23.0,62.0
21.0,72.0,9.0,19.0,72.0
22.0,66.0,12.0,22.0,66.0
23.0,62.0,10.0,28.0,62.0
24.0,73.0,14.0,13.0,73.0
25.0,58.0,12.0,30.0,57.99999999999999
26.0,70.0,10.0,20.0,70.0
27.0,73.0,14.0,13.0,73.0
28.0,58.0,19.0,23.0,57.99999999999999
29.0,79.0,8.0,13.0,79.0
30.0,81.0,8.0,11.0,81.0
31.0,69.0,17.0,14.0,69.0
32.0,68.0,18.0,14.0,68.0
33.0,69.0,13.0,18.0,69.0
34.0,63.0,17.0,20.0,63.0
35.0,75.0,11.0,14.0,75.0
36.0,73.0,16.0,11.0,73.0
37.0,79.0,6.0,15.0,79.0
38.0,62.0,18.0,20.0,62.0
39.0,70.0,16.0,14.0,70.0
40.0,60.0,16.0,24.0,60.0
41.0,67.0,14.0,19.0,67.0
42.0,73.0,14.0,13.0,73.0
43.0,70.0,15.0,15.0,70.0
44.0,73.0,8.0,19.0,73.0
45.0,77.0,14.0,9.0,77.0
46.0,75.0,9.0,16.0,75.0
47.0,76.0,12.0,12.0,76.0
48.0,74.0,13.0,13.0,74.0
49.0,81.0,7.0,12.0,81.0
50.0,71.0,14.0,15.0,71.0
51.0,67.0,15.0,18.0,67.0
52.0,74.0,9.0,17.0,74.0
53.0,72.0,12.0,16.0,72.0
54.0,75.0,11.0,14.0,75.0
55.0,79.0,14.0,7.0,79.0
56.0,79.0,12.0,9.0,79.0
57.0,82.0,11.0,7.0,82.0
58.0,83.0,7.0,10.0,83.0
59.0,73.0,13.0,14.0,73.0
60.0,77.0,13.0,10.0,77.0
61.0,80.0,9.0,11.0,80.0
62.0,78.0,8.0,14.0,78.0
63.0,83.0,9.0,8.0,83.0
64.0,70.0,11.0,19.0,70.0
65.0,83.0,8.0,9.0,83.0
66.0,75.0,9.0,16.0,75.0
67.0,82.0,10.0,8.0,82.0
68.0,77.0,14.0,9.0,77.0
69.0,80.0,8.0,12.0,80.0
70.0,80.0,11.0,9.0,80.0
71.0,78.0,7.0,15.0,78.0
72.0,75.0,11.0,14.0,75.0
73.0,76.0,14.0,10.0,76.0
74.0,78.0,11.0,11.0,78.0
75.0,71.0,19.0,10.0,71.0
76.0,81.0,11.0,8.0,81.0
77.0,81.0,7.0,12.0,81.0
78.0,78.0,11.0,11.0,78.0
79.0,79.0,13.0,8.0,79.0
80.0,69.0,18.0,13.0,69.0
81.0,81.0,9.0,10.0,81.0
82.0,81.0,7.0,12.0,81.0
83.0,78.0,10.0,12.0,78.0
84.0,78.0,13.0,9.0,78.0
85.0,83.0,6.0,11.0,83.0
86.0,71.0,18.0,11.0,71.0
87.0,83.0,9.0,8.0,83.0
88.0,81.0,12.0,7.0,81.0
89.0,78.0,11.0,11.0,78.0
90.0,75.0,12.0,13.0,75.0
91.0,70.0,16.0,14.0,70.0
92.0,83.0,7.0,10.0,83.0
93.0,77.0,14.0,9.0,77.0
94.0,79.0,12.0,9.0,79.0
95.0,80.0,9.0,11.0,80.0
96.0,79.0,15.0,6.0,79.0
97.0,77.0,13.0,10.0,77.0
98.0,80.0,9.0,11.0,80.0
99.0,75.0,16.0,9.0,75.0
100.0,85.0,6.0,9.0,85.0
